2026-03-23 13:13:34 | INFO     | scraper.gem | Driver started (headless=False)
2026-03-23 13:13:34 | INFO     | scraper.gem | [gem] Scraping keyword: Data Cataloguing
2026-03-23 13:13:44 | INFO     | scraper.gem | [GEM] Page 1 for 'Data Cataloguing'
2026-03-23 13:13:48 | INFO     | scraper.gem | [GEM] Page 2 for 'Data Cataloguing'
2026-03-23 13:13:51 | INFO     | scraper.gem | [GEM] Page 3 for 'Data Cataloguing'
2026-03-23 13:13:55 | INFO     | scraper.gem | [GEM] Page 4 for 'Data Cataloguing'
2026-03-23 13:13:59 | INFO     | scraper.gem | [GEM] Page 5 for 'Data Cataloguing'
2026-03-23 13:14:03 | INFO     | scraper.gem | [GEM] Page 6 for 'Data Cataloguing'
2026-03-23 13:14:05 | INFO     | scraper.gem | Driver started (headless=False)
2026-03-23 13:14:05 | INFO     | scraper.gem | [gem] Scraping keyword: Data Cataloguing
2026-03-23 13:14:07 | INFO     | scraper.gem | [GEM] Page 7 for 'Data Cataloguing'
2026-03-23 13:14:10 | INFO     | scraper.gem | [GEM] Page 8 for 'Data Cataloguing'
2026-03-23 13:14:14 | INFO     | scraper.gem | [GEM] Page 9 for 'Data Cataloguing'
2026-03-23 13:14:15 | INFO     | scraper.gem | [GEM] Page 1 for 'Data Cataloguing'
2026-03-23 13:14:18 | INFO     | scraper.gem | [GEM] Page 10 for 'Data Cataloguing'
2026-03-23 13:14:18 | INFO     | scraper.gem | [GEM] Page 2 for 'Data Cataloguing'
2026-03-23 13:14:21 | INFO     | scraper.gem | [gem] Got 0 results for 'Data Cataloguing'
2026-03-23 13:14:21 | INFO     | scraper.gem | [gem] Scraping keyword: Material Codification
2026-03-23 13:14:22 | INFO     | scraper.gem | [GEM] Page 3 for 'Data Cataloguing'
2026-03-23 13:14:26 | INFO     | scraper.gem | [GEM] Page 4 for 'Data Cataloguing'
2026-03-23 13:14:30 | INFO     | scraper.gem | [GEM] Page 5 for 'Data Cataloguing'
2026-03-23 13:14:31 | INFO     | scraper.gem | [GEM] Page 1 for 'Material Codification'
2026-03-23 13:14:33 | INFO     | scraper.gem | [GEM] Page 6 for 'Data Cataloguing'
2026-03-23 13:14:34 | INFO     | scraper.gem | [GEM] Page 2 for 'Material Codification'
2026-03-23 13:14:37 | INFO     | scraper.gem | [GEM] Page 7 for 'Data Cataloguing'
2026-03-23 13:14:38 | INFO     | scraper.gem | [GEM] Page 3 for 'Material Codification'
2026-03-23 13:14:40 | INFO     | scraper.gem | [GEM] Page 8 for 'Data Cataloguing'
2026-03-23 13:14:42 | INFO     | scraper.gem | [GEM] Page 4 for 'Material Codification'
2026-03-23 13:14:44 | INFO     | scraper.gem | [GEM] Page 9 for 'Data Cataloguing'
2026-03-23 13:14:45 | INFO     | scraper.gem | [GEM] Page 5 for 'Material Codification'
2026-03-23 13:14:47 | INFO     | scraper.gem | [GEM] Page 10 for 'Data Cataloguing'
2026-03-23 13:14:49 | INFO     | scraper.gem | [GEM] Page 6 for 'Material Codification'
2026-03-23 13:14:51 | INFO     | scraper.gem | [gem] Got 0 results for 'Data Cataloguing'
2026-03-23 13:14:51 | INFO     | scraper.gem | [gem] Scraping keyword: Material Codification
2026-03-23 13:14:53 | INFO     | scraper.gem | [GEM] Page 7 for 'Material Codification'
2026-03-23 13:14:56 | INFO     | scraper.gem | [GEM] Page 8 for 'Material Codification'
2026-03-23 13:15:00 | INFO     | scraper.gem | [GEM] Page 9 for 'Material Codification'
2026-03-23 13:15:00 | INFO     | scraper.gem | [GEM] Page 1 for 'Material Codification'
2026-03-23 13:15:04 | INFO     | scraper.gem | [GEM] Page 10 for 'Material Codification'
2026-03-23 13:15:04 | INFO     | scraper.gem | [GEM] Page 2 for 'Material Codification'
2026-03-23 13:15:07 | INFO     | scraper.gem | [GEM] Page 3 for 'Material Codification'
2026-03-23 13:15:07 | INFO     | scraper.gem | [gem] Got 0 results for 'Material Codification'
2026-03-23 13:15:07 | INFO     | scraper.gem | [gem] Scraping keyword: Master data management
2026-03-23 13:15:11 | INFO     | scraper.gem | [GEM] Page 4 for 'Material Codification'
2026-03-23 13:15:15 | INFO     | scraper.gem | [GEM] Page 5 for 'Material Codification'
2026-03-23 13:15:17 | INFO     | scraper.gem | [GEM] Page 1 for 'Master data management'
2026-03-23 13:15:18 | INFO     | scraper.gem | [GEM] Page 6 for 'Material Codification'
2026-03-23 13:15:20 | INFO     | scraper.gem | [GEM] Page 2 for 'Master data management'
2026-03-23 13:15:22 | INFO     | scraper.gem | [GEM] Page 7 for 'Material Codification'
2026-03-23 13:15:24 | INFO     | scraper.gem | [GEM] Page 3 for 'Master data management'
2026-03-23 13:15:26 | INFO     | scraper.gem | [GEM] Page 8 for 'Material Codification'
2026-03-23 13:15:28 | INFO     | scraper.gem | [GEM] Page 4 for 'Master data management'
2026-03-23 13:15:29 | INFO     | scraper.gem | [GEM] Page 9 for 'Material Codification'
2026-03-23 13:15:31 | INFO     | scraper.gem | [GEM] Page 5 for 'Master data management'
2026-03-23 13:15:34 | INFO     | scraper.gem | [GEM] Page 10 for 'Material Codification'
2026-03-23 13:15:35 | INFO     | scraper.gem | [GEM] Page 6 for 'Master data management'
2026-03-23 13:15:38 | INFO     | scraper.gem | [gem] Got 0 results for 'Material Codification'
2026-03-23 13:15:38 | INFO     | scraper.gem | [gem] Scraping keyword: Master data management
2026-03-23 13:15:39 | INFO     | scraper.gem | [GEM] Page 7 for 'Master data management'
2026-03-23 13:15:40 | INFO     | scraper.gem | [gem] Got 0 results for 'Master data management'
2026-03-23 13:15:40 | INFO     | scraper.gem | [gem] Scraping keyword: Material master data cleansing
2026-03-23 13:15:47 | INFO     | scraper.gem | [GEM] Page 1 for 'Master data management'
2026-03-23 13:15:49 | INFO     | scraper.gem | [GEM] Page 1 for 'Material master data cleansing'
2026-03-23 13:15:51 | INFO     | scraper.gem | [GEM] Page 2 for 'Master data management'
2026-03-23 13:15:53 | INFO     | scraper.gem | [GEM] Page 2 for 'Material master data cleansing'
2026-03-23 13:15:54 | INFO     | scraper.gem | [GEM] Page 3 for 'Master data management'
2026-03-23 13:15:57 | INFO     | scraper.gem | [GEM] Page 3 for 'Material master data cleansing'
2026-03-23 13:15:58 | INFO     | scraper.gem | [GEM] Page 4 for 'Master data management'
2026-03-23 13:16:00 | INFO     | scraper.gem | [GEM] Page 4 for 'Material master data cleansing'
2026-03-23 13:16:01 | INFO     | scraper.gem | [GEM] Page 5 for 'Master data management'
2026-03-23 13:16:04 | INFO     | scraper.gem | [GEM] Page 5 for 'Material master data cleansing'
2026-03-23 13:16:05 | INFO     | scraper.gem | [GEM] Page 6 for 'Master data management'
2026-03-23 13:16:07 | INFO     | scraper.gem | [GEM] Page 6 for 'Material master data cleansing'
2026-03-23 13:16:09 | INFO     | scraper.gem | [GEM] Page 7 for 'Master data management'
2026-03-23 13:16:09 | INFO     | scraper.gem | [gem] Got 0 results for 'Master data management'
2026-03-23 13:16:09 | INFO     | scraper.gem | [gem] Scraping keyword: Material master data cleansing
2026-03-23 13:16:11 | INFO     | scraper.gem | [GEM] Page 7 for 'Material master data cleansing'
2026-03-23 13:16:15 | INFO     | scraper.gem | [GEM] Page 8 for 'Material master data cleansing'
